game_id,tour,issue_type,endpoint,status,payload_size_or_count,local_state,notes
2a95f38d-022c-4c3f-9208-8b822d4bda6e,1,em_events_missing,https://sota.id/em/2a95f38d-022c-4c3f-9208-8b822d4bda6e-list.json,200,22,local_events=0 score=2:1,SOTA list endpoint returns non-empty payload (needs manual check)
ddda1613-11a5-4de9-9bb3-b252eacd91af,1,em_events_missing,https://sota.id/em/ddda1613-11a5-4de9-9bb3-b252eacd91af-list.json,200,15,local_events=0 score=0:2,SOTA list endpoint returns non-empty payload (needs manual check)
31abdb0e-dced-4400-a374-c1df1b2a3a92,1,em_events_missing,https://sota.id/em/31abdb0e-dced-4400-a374-c1df1b2a3a92-list.json,200,26,local_events=0 score=1:6,SOTA list endpoint returns non-empty payload (needs manual check)
8833f029-7f1c-4a9d-8939-f8e322c6e25c,1,em_events_missing,https://sota.id/em/8833f029-7f1c-4a9d-8939-f8e322c6e25c-list.json,200,20,local_events=0 score=5:1,SOTA list endpoint returns non-empty payload (needs manual check)
ff1e41e5-912a-4fe7-80ff-9c2f73351358,1,em_events_missing,https://sota.id/em/ff1e41e5-912a-4fe7-80ff-9c2f73351358-list.json,200,21,local_events=0 score=1:4,SOTA list endpoint returns non-empty payload (needs manual check)
c97ff5b4-ee5e-4902-86a1-a60f5684c7aa,2,em_events_missing,https://sota.id/em/c97ff5b4-ee5e-4902-86a1-a60f5684c7aa-list.json,200,14,local_events=0 score=2:0,SOTA list endpoint returns non-empty payload (needs manual check)
be478192-6553-48c0-a166-8b46e61c6d65,2,em_events_missing,https://sota.id/em/be478192-6553-48c0-a166-8b46e61c6d65-list.json,200,15,local_events=0 score=1:0,SOTA list endpoint returns non-empty payload (needs manual check)
a1f242fd-c52c-4e81-b608-1c36b8c94a05,2,em_events_missing,https://sota.id/em/a1f242fd-c52c-4e81-b608-1c36b8c94a05-list.json,200,11,local_events=0 score=1:1,SOTA list endpoint returns non-empty payload (needs manual check)
9263d647-cfb6-4daf-87b0-2b463933c81e,2,em_events_missing,https://sota.id/em/9263d647-cfb6-4daf-87b0-2b463933c81e-list.json,200,15,local_events=0 score=3:0,SOTA list endpoint returns non-empty payload (needs manual check)
ca178e5b-4d2a-43c0-87b4-c4bae180f356,2,em_events_missing,https://sota.id/em/ca178e5b-4d2a-43c0-87b4-c4bae180f356-list.json,200,26,local_events=0 score=1:5,SOTA list endpoint returns non-empty payload (needs manual check)
7227cc4e-8c3a-450f-ba35-97e4ef06904a,3,em_events_missing,https://sota.id/em/7227cc4e-8c3a-450f-ba35-97e4ef06904a-list.json,200,17,local_events=0 score=2:0,SOTA list endpoint returns non-empty payload (needs manual check)
5ef849df-32ec-4d4e-abb2-caa7021022a5,3,em_events_missing,https://sota.id/em/5ef849df-32ec-4d4e-abb2-caa7021022a5-list.json,200,26,local_events=0 score=8:1,SOTA list endpoint returns non-empty payload (needs manual check)
5155206e-7028-44f4-a718-47bd013bee56,3,em_events_missing,https://sota.id/em/5155206e-7028-44f4-a718-47bd013bee56-list.json,200,17,local_events=0 score=3:1,SOTA list endpoint returns non-empty payload (needs manual check)
fbecf639-2990-4217-88e5-b9acb60789ad,3,em_events_missing,https://sota.id/em/fbecf639-2990-4217-88e5-b9acb60789ad-list.json,200,13,local_events=0 score=0:1,SOTA list endpoint returns non-empty payload (needs manual check)
f4c6014b-920c-46cf-8772-80a08423df57,3,em_events_missing,https://sota.id/em/f4c6014b-920c-46cf-8772-80a08423df57-list.json,200,22,local_events=0 score=1:4,SOTA list endpoint returns non-empty payload (needs manual check)
187730ca-1ec1-420b-8c05-245f8f472cd8,4,em_events_missing,https://sota.id/em/187730ca-1ec1-420b-8c05-245f8f472cd8-list.json,200,17,local_events=0 score=2:2,SOTA list endpoint returns non-empty payload (needs manual check)
65e1547b-be81-41f9-91a6-2ebd6b55927c,4,em_events_missing,https://sota.id/em/65e1547b-be81-41f9-91a6-2ebd6b55927c-list.json,200,16,local_events=0 score=2:0,SOTA list endpoint returns non-empty payload (needs manual check)
05b3df23-bb7a-4667-b581-d4739bc7a281,4,em_events_missing,https://sota.id/em/05b3df23-bb7a-4667-b581-d4739bc7a281-list.json,200,15,local_events=0 score=1:0,SOTA list endpoint returns non-empty payload (needs manual check)
9aea92df-1aaf-4555-a620-2e6ce623cf2a,4,em_events_missing,https://sota.id/em/9aea92df-1aaf-4555-a620-2e6ce623cf2a-list.json,200,21,local_events=0 score=2:1,SOTA list endpoint returns non-empty payload (needs manual check)
b797aeaa-86d9-4685-b52d-b9787b275a7c,4,em_events_missing,https://sota.id/em/b797aeaa-86d9-4685-b52d-b9787b275a7c-list.json,200,24,local_events=0 score=2:2,SOTA list endpoint returns non-empty payload (needs manual check)
367fa037-e0e3-400f-a861-46cc6302ad8c,4,em_events_missing,https://sota.id/em/367fa037-e0e3-400f-a861-46cc6302ad8c-list.json,200,35,local_events=0 score=1:11,SOTA list endpoint returns non-empty payload (needs manual check)
fd58c2d4-9234-4040-9925-cd1814e37101,5,em_events_missing,https://sota.id/em/fd58c2d4-9234-4040-9925-cd1814e37101-list.json,200,19,local_events=0 score=4:0,SOTA list endpoint returns non-empty payload (needs manual check)
84dc4913-f0de-4245-9cb2-81c1d7634a77,5,em_events_missing,https://sota.id/em/84dc4913-f0de-4245-9cb2-81c1d7634a77-list.json,200,28,local_events=0 score=7:1,SOTA list endpoint returns non-empty payload (needs manual check)
0ad51f0d-0c65-4bb3-916a-bc9087688e3d,5,em_events_missing,https://sota.id/em/0ad51f0d-0c65-4bb3-916a-bc9087688e3d-list.json,200,8,local_events=0 score=0:0,SOTA list endpoint returns non-empty payload (needs manual check)
96727c37-1abd-44b3-a638-d4052a1df14e,5,em_events_missing,https://sota.id/em/96727c37-1abd-44b3-a638-d4052a1df14e-list.json,200,23,local_events=0 score=0:7,SOTA list endpoint returns non-empty payload (needs manual check)
36dfeddd-a911-4b70-8919-f22a92ffd983,5,em_events_missing,https://sota.id/em/36dfeddd-a911-4b70-8919-f22a92ffd983-list.json,200,18,local_events=0 score=2:2,SOTA list endpoint returns non-empty payload (needs manual check)
c11eb75d-c340-4c96-8b12-bfd2f80636cc,6,em_events_missing,https://sota.id/em/c11eb75d-c340-4c96-8b12-bfd2f80636cc-list.json,200,25,local_events=0 score=3:2,SOTA list endpoint returns non-empty payload (needs manual check)
34b636c5-beeb-440f-8900-5fcdce06324a,6,em_events_missing,https://sota.id/em/34b636c5-beeb-440f-8900-5fcdce06324a-list.json,200,12,local_events=0 score=0:0,SOTA list endpoint returns non-empty payload (needs manual check)
c03665fe-3006-4bb8-aec6-a729168cabb1,6,em_events_missing,https://sota.id/em/c03665fe-3006-4bb8-aec6-a729168cabb1-list.json,200,18,local_events=0 score=2:2,SOTA list endpoint returns non-empty payload (needs manual check)
98641adf-f6c5-4713-b2f2-109df7459390,6,em_events_missing,https://sota.id/em/98641adf-f6c5-4713-b2f2-109df7459390-list.json,200,21,local_events=0 score=3:2,SOTA list endpoint returns non-empty payload (needs manual check)
